param_value,n_nodes,run_id,tau
0.3,10,79,3421
0.3,10,80,2881
0.3,10,81,3597
0.3,10,82,3292
0.3,10,83,2815
0.3,10,84,3291
0.3,10,85,3222
0.3,10,86,2764
0.3,10,87,2737
0.3,10,88,3569
0.3,10,89,3154
0.3,10,90,3171
0.3,10,91,3840
0.3,10,92,3447
0.3,10,93,3103
0.3,10,94,3299
0.3,10,95,2940
0.3,10,96,3753
0.3,10,97,3832
0.3,10,98,3119
0.3,10,99,3998
0.3,10,100,3432
0.3,10,101,2741
0.3,10,102,2872
0.3,10,103,3407
0.3,10,104,2563
0.3,10,105,2931
0.3,10,106,2551
0.3,10,107,3029
0.3,10,108,2774
0.3,10,109,3301
0.3,10,110,2996
0.3,10,111,2982
0.3,10,112,3492
0.3,10,113,3569
0.3,10,114,3731
0.3,10,115,3801
0.3,10,116,3446
0.3,10,117,3216
0.3,10,118,3521
0.3,10,119,3486
0.3,10,120,3403
0.3,10,121,3232
0.3,10,122,3306
0.3,10,123,3413
0.3,10,124,3456
0.3,10,125,2993
0.3,10,126,2529
0.3,10,127,3480
0.3,10,128,2240
0.3,10,129,3546
0.3,10,130,3449
0.3,10,131,3431
0.3,10,132,3165
0.3,10,133,3185
0.3,10,134,3277
0.3,10,135,3640
0.3,10,136,2834
0.3,10,137,3047
0.3,10,138,3325
0.3,10,139,2655
0.3,10,140,3636
0.3,10,141,3185
0.3,10,142,3273
0.3,10,143,2995
0.3,10,144,2899
0.3,10,145,2443
0.3,10,146,2925
0.3,10,147,3762
0.3,10,148,3323
0.3,10,149,2867
0.35,10,0,2821
0.35,10,1,3070
0.35,10,2,2777
0.35,10,3,2906
0.35,10,4,2862
0.35,10,5,3272
0.35,10,6,2823
0.35,10,7,3072
0.35,10,8,2507
0.35,10,9,2483
0.35,10,10,3129
0.35,10,11,2758
0.35,10,12,3022
0.35,10,13,3002
0.35,10,14,2868
0.35,10,15,2908
0.35,10,16,2413
0.35,10,17,3112
0.35,10,18,2802
0.35,10,19,3040
0.35,10,20,2898
0.35,10,21,2602
0.35,10,22,3130
0.35,10,23,2821
0.35,10,24,3210
0.35,10,25,3283
0.35,10,26,2719
0.35,10,27,2615
0.35,10,28,2924
0.35,10,29,2413
0.35,10,30,3042
0.35,10,31,2846
0.35,10,32,3085
0.35,10,33,2725
0.35,10,34,3121
0.35,10,35,3091
0.35,10,36,3248
0.35,10,37,2650
0.35,10,38,2733
0.35,10,39,2935
0.35,10,40,2737
0.35,10,41,2861
0.35,10,42,2306
0.35,10,43,3422
0.35,10,44,2561
0.35,10,45,2393
0.35,10,46,2306
0.35,10,47,2673
0.35,10,48,3018
0.35,10,49,3189
0.35,10,50,3291
0.35,10,51,2865
0.35,10,52,3183
0.35,10,53,3025
0.35,10,54,2983
0.35,10,55,2681
0.35,10,56,2682
0.35,10,57,2707
0.35,10,58,3071
0.35,10,59,2750
0.35,10,60,2880
0.35,10,61,3270
0.35,10,62,3017
0.35,10,63,2976
0.35,10,64,2495
0.35,10,65,2611
0.35,10,66,2026
0.35,10,67,3205
0.35,10,68,3408
0.35,10,69,3263
0.35,10,70,2826
0.35,10,71,2424
0.35,10,72,2794
0.35,10,73,2497
0.35,10,74,3051
0.35,10,75,2475
0.35,10,76,3205
0.35,10,77,2838
0.35,10,78,3161
0.35,10,79,2686
0.35,10,80,2588
0.35,10,81,3015
0.35,10,82,2719
0.35,10,83,2523
0.35,10,84,3144
0.35,10,85,3105
0.35,10,86,2254
0.35,10,87,2386
0.35,10,88,3091
0.35,10,89,2886
0.35,10,90,2863
0.35,10,91,2641
0.35,10,92,2852
0.35,10,93,2265
0.35,10,94,3277
0.35,10,95,2859
0.35,10,96,2920
0.35,10,97,2942
0.35,10,98,2459
0.35,10,99,3333
0.35,10,100,2749
0.35,10,101,2724
0.35,10,102,2346
0.35,10,103,2949
0.35,10,104,2252
0.35,10,105,2935
0.35,10,106,2207
0.35,10,107,2933
0.35,10,108,2374
0.35,10,109,2894
0.35,10,110,2398
0.35,10,111,3199
0.35,10,112,2939
0.35,10,113,3003
0.35,10,114,2819
0.35,10,115,3528
0.35,10,116,2961
0.35,10,117,2909
0.35,10,118,3157
0.35,10,119,3230
0.35,10,120,2974
0.35,10,121,2657
0.35,10,122,2991
0.35,10,123,3034
0.35,10,124,2932
0.35,10,125,2588
0.35,10,126,2614
0.35,10,127,2558
0.35,10,128,2021
0.35,10,129,3230
0.35,10,130,2761
0.35,10,131,2707
0.35,10,132,2800
0.35,10,133,2898
0.35,10,134,2851
0.35,10,135,3495
0.35,10,136,2631
0.35,10,137,2772
0.35,10,138,2852
0.35,10,139,2434
0.35,10,140,2697
0.35,10,141,3144
0.35,10,142,2985
0.35,10,143,2409
0.35,10,144,2612
0.35,10,145,1996
0.35,10,146,2918
0.35,10,147,2644
0.35,10,148,3043
0.35,10,149,2565
0.4,10,0,2615
0.4,10,1,2756
0.4,10,2,2664
0.4,10,3,2435
0.4,10,4,2399
0.4,10,5,2989
0.4,10,6,2701
0.4,10,7,2802
0.4,10,8,2336
0.4,10,9,2264
0.4,10,10,2504
0.4,10,11,2501
0.4,10,12,2891
